Freq(MHz),Point,Lat,Lon,Elev(m),Pr(dBm)
100.00,AVG,30.90694,34.92554,517.0,-85.93
100.00,AVG,30.90694,34.93839,456.0,-86.00
100.00,AVG,30.90694,34.95125,448.0,-86.08
100.00,AVG,30.90694,34.96410,431.0,-86.15
100.00,AVG,30.90694,34.97695,465.0,-86.22
100.00,AVG,30.90694,34.98981,409.0,-86.29
100.00,AVG,30.90694,35.00266,368.0,-86.36
100.00,AVG,30.90694,35.01552,364.0,-86.43
100.00,AVG,30.90694,35.02837,390.0,-86.50
100.00,AVG,30.90694,35.04122,397.0,-86.57
100.00,AVG,30.90694,35.05408,374.0,-86.64
100.00,AVG,30.90694,35.06693,358.0,-86.70
100.00,AVG,30.90694,35.07979,415.0,-86.77
100.00,AVG,30.90694,35.09264,119.0,-87.16
100.00,AVG,30.90694,35.10549,388.0,-86.90
100.00,AVG,30.90694,35.11835,305.0,-86.96
100.00,AVG,30.90694,35.13120,213.0,-87.03
100.00,AVG,30.90694,35.14406,67.0,-87.43
100.00,AVG,30.90694,35.15691,49.0,-87.50
100.00,AVG,30.90694,35.16976,40.0,-87.56
100.00,AVG,30.90694,35.18262,-39.0,-87.89
100.00,AVG,30.90694,35.19547,-30.0,-89.17
100.00,AVG,30.90694,35.20833,-53.0,-92.74
100.00,AVG,30.90694,35.22118,1.0,-88.58
100.00,AVG,30.90694,35.23403,-18.0,-88.16
100.00,AVG,30.90694,35.24689,-93.0,-87.95
100.00,AVG,30.90694,35.25974,-125.0,-88.01
100.00,AVG,30.90694,35.27260,-189.0,-88.36
100.00,AVG,30.90694,35.28545,-203.0,-88.81
100.00,AVG,30.90694,35.29830,-238.0,-88.88
100.00,AVG,30.90694,35.31116,-238.0,-88.26
100.00,AVG,30.90694,35.32401,-272.0,-88.10
100.00,AVG,30.90694,35.33687,-250.0,-87.99
100.00,AVG,30.90694,35.34972,-314.0,-88.22
100.00,AVG,30.90694,35.36257,-246.0,-88.10
100.00,AVG,30.90694,35.37543,-268.0,-88.16
100.00,AVG,30.90694,35.38828,-300.0,-88.21
100.00,AVG,30.90694,35.40114,-307.0,-88.27
100.00,AVG,30.90694,35.41399,-343.0,-88.32
100.00,AVG,30.90694,35.42684,-332.0,-88.37
100.00,AVG,30.90694,35.43970,-332.0,-88.43
100.00,AVG,30.90694,35.45255,-313.0,-88.48
100.00,AVG,30.90694,35.46541,-249.0,-88.53
100.00,AVG,30.90694,35.47826,-177.0,-88.59
100.00,AVG,30.90694,35.49111,-12.0,-88.64
100.00,AVG,30.90694,35.50397,129.0,-88.69
100.00,AVG,30.90694,35.51682,9.0,-88.74
100.00,AVG,30.90694,35.52968,135.0,-88.79
100.00,AVG,30.90694,35.54253,453.0,-88.84
100.00,AVG,30.90694,35.55538,466.0,-88.89
100.00,AVG,30.90694,35.56824,439.0,-88.94
100.00,AVG,30.90694,35.58109,739.0,-88.99
